id,title,country,charity_types_id,logo_type,logo_upload,banner_link,banner_type,banner_upload,banner_link,description,status,created_at,updated_at"
51,Himmah,4,2,upload,resources/upload/images/112003234020525691691623930975.png,NULL,upload,resources/upload/images/16996491661707155581623930980.png,NULL,,0,2021-05-17 12:56:31,2021-05-17 12:56:31
52,Village Food Project,4,6,upload,resources/upload/images/5455216603231231991623931448.png,NULL,upload,resources/upload/images/103811172511477822371623931451.png,NULL,,0,2021-05-17 13:04:13,2021-05-17 13:04:13
53,Masjid al Jannah,4,4,upload,resources/upload/images/2344873816279357411623933093.png,NULL,upload,resources/upload/images/158227685419416475281623933096.png,NULL,,0,2021-05-17 13:31:46,2021-05-17 13:31:46
54,Seerah Today,4,2,upload,resources/upload/images/126881108319748506641623935167.png,NULL,upload,resources/upload/images/16785728310295913791623935171.png,NULL,,0,2021-05-17 14:06:18,2021-05-17 14:06:18
55,Shah Jahan Mosque,4,4,upload,resources/upload/images/8013795321026826341623936425.png,NULL,upload,resources/upload/images/3071836571625508571623936429.png,NULL,,0,2021-05-17 14:27:17,2021-05-17 14:27:17
56,Muntada Aid,4,2,upload,resources/upload/images/26601686712788955881623940579.png,NULL,upload,resources/upload/images/174471292917542510451623940582.png,NULL,,0,2021-05-17 15:36:24,2021-05-17 15:36:24
57,SWAN,4,2,upload,resources/upload/images/9582332989169773771623941126.png,NULL,upload,resources/upload/images/80099931717142395891623941130.png,NULL,,0,2021-05-17 15:45:36,2021-05-17 15:45:36
58,Sufra NW London,4,2,upload,resources/upload/images/145733732511142783001623942733.png,NULL,upload,resources/upload/images/13595495147591923911623942737.png,NULL,,0,2021-05-17 16:12:19,2021-05-17 16:12:19
59,The Breaking Bread Trust ,4,2,upload,resources/upload/images/89232769710819624141623943057.png,NULL,upload,resources/upload/images/151355568815098607191623943061.png,NULL,,0,2021-05-17 16:17:51,2021-05-17 16:17:51
60,WF-Aid,4,2,upload,resources/upload/images/62052105717541380761623943433.png,NULL,upload,resources/upload/images/196066538211088321623943436.png,NULL,,0,2021-05-17 16:24:02,2021-05-17 16:24:02
61,PL84U Al Suffa,4,2,upload,resources/upload/images/203179423613013613271623945403.png,NULL,upload,resources/upload/images/8919753611122346961624115495.png,NULL,,0,2021-05-17 16:56:48,2021-05-17 16:56:48
62,Al Nagashi Mosque and Centre,4,4,upload,resources/upload/images/52582691818928603631624010219.png,NULL,upload,resources/upload/images/18080961953813992031624010223.png,NULL,,0,2021-05-18 10:57:04,2021-05-18 10:57:04
63,Lewisham Islamic Centre,4,4,upload,resources/upload/images/203489583613341820611624010620.png,NULL,upload,resources/upload/images/20341494597112561911624010624.png,NULL,,0,2021-05-18 11:03:45,2021-05-18 11:03:45
64,Old Kent Road Mosque,4,4,upload,resources/upload/images/17914860765211935931624011225.png,NULL,upload,resources/upload/images/123366315414568647471624011231.png,NULL,,0,2021-05-18 11:13:59,2021-05-18 11:13:59
65,Tooting Community Kitchen,4,6,upload,resources/upload/images/152330777216795282411624011884.png,NULL,upload,resources/upload/images/209465281918372964491624011887.png,NULL,,0,2021-05-18 11:24:57,2021-05-18 11:24:57
66,Al-Khair,4,2,upload,resources/upload/images/14022176224532278131624012149.png,NULL,upload,resources/upload/images/9659962731379677011624012153.png,NULL,,0,2021-05-18 11:29:15,2021-05-18 11:29:15
67,Global Relief Trust,4,0,upload,resources/upload/images/5262965920865845961624012697.png,NULL,upload,resources/upload/images/14380726079009060041624012701.png,NULL,,0,2021-05-18 11:38:25,2021-05-18 11:38:25
68,Human Relief Foundation,4,2,upload,resources/upload/images/91243237114476098071624013071.png,NULL,upload,resources/upload/images/152730363915368456161624013075.png,NULL,,0,2021-05-18 11:44:36,2021-05-18 11:44:36
69,UK Islamic Mission,4,2,upload,resources/upload/images/29601399416073130451624013975.png,NULL,upload,resources/upload/images/10571741431878069981624013986.png,NULL,,0,2021-05-18 11:59:57,2021-05-18 11:59:57
70,One Hope Foundation,4,2,upload,resources/upload/images/17931345485032961731624113500.png,NULL,upload,resources/upload/images/12625842009643281641624113506.png,NULL,,0,2021-05-19 15:38:27,2021-05-19 15:38:27
71,Minhaj Welfare Foundation,4,2,upload,resources/upload/images/6111666904790730401624113982.png,NULL,upload,resources/upload/images/82696420716842385011624113985.png,NULL,,0,2021-05-19 15:46:43,2021-05-19 15:46:43
72,Muslim Charity,4,2,upload,resources/upload/images/16318197453186960371624114430.png,NULL,upload,resources/upload/images/16593430655029346101624114434.png,NULL,This is test description Here. This is test description Here. This is test description Here. This is test description Here. This is test description Here. This is test description Here. This is test description Here. This is test description Here. This is test description Here. ,0,2021-05-19 15:53:55,2021-05-19 15:53:55
73,The Black Society,4,2,upload,resources/upload/images/131775296611161189421657145389.jpeg,NULL,upload,resources/upload/images/5098113931133879211657145395.jpg,NULL,Charity Type: Society<p>Charity number: 1194762<p><br>The Black Society CIO was established as a charity in 2021 with a vision to create a more equitable society that nurtures and utilises the diverse potential of the people and resources in the community through collaboration and education.Ensuring that opportunities and resources reach those who require the support to flourish is key to our mission. Your advice and feedback will help us to determine how we use our resources as a charity in the best interest of the community and people we serve.",1,2022-06-06 23:09:56,2022-06-06 23:09:56
74,100 Black Men of London,0,0,upload,resources/upload/images/3825469932206058001657199999.png,NULL,upload,resources/upload/images/181040186115114982871657200005.jpg,NULL,"Website: <a href=https://www.100bmol.org.uk/>100 Black Men of London</a><p>Charity Type: Society and Work<p>UK Registered Charity Number: 1105904<p><br>The 100 Black Men of London is a community-based charity led by Black men delivering programs and activities focused on Mentoring, Education, Economic Empowerment, and Health & Wellness. We have been serving our community since 2001, and impacting thousands of lives through the work we do.",1,2022-06-07 14:20:26,2022-06-07 14:20:26
75,Stephen Lawrence Day,4,2,upload,resources/upload/images/18585768618600042191657200258.jpg,NULL,upload,resources/upload/images/13174483951893813621657200273.png,NULL,"Website: www.stephenlawrence.org.uk<p>Charity Type: Human Rights<p>UK Registered Charity Number: 1102267<p><br>We work with young people from disadvantaged backgrounds aged 13 to 30 to inspire and enable them to succeed in the career of their choice. We also influence others to create a fairer society in which everyone, regardless of their background, can flourish.",1,2022-06-07 14:26:18,2022-06-07 14:26:18
76,Black Minds Matter,0,0,upload,resources/upload/images/9094482253788516101657200743.jpeg,NULL,upload,resources/upload/images/40490792317612375691657200752.jpg,NULL,"Website: https://www.blackmindsmatteruk.com/<p>Charity Type: Society and Work<p>UK Registered Charity Number: 1193036<p><br>Black Minds Matter UK is a fully registered charity operating in the UK; connecting Black individuals and families with free mental health services- by professional Black therapists to support their mental health. Our vision is to make mental health topics more relevant and accessible for all Black people in the U.K., removing the stigma and remodelling the services to be relevant for the Black community.",1,2022-06-07 14:34:53,2022-06-07 14:34:53
77,Access UK,0,2,upload,resources/upload/images/7115625516218168601657201195.jpg,NULL,upload,resources/upload/images/76277308814648485701657201202.jpg,NULL,"Website: https://www.accessuk.org/<p>Charity Type: Education<p>UK Registered Charity Number: 1105904<p><br>Access UK is a charitable organisation which provides careers support services for young adults, with an emphasis on the British African-Caribbean community.",1,2022-06-07 14:38:45,2022-06-07 14:38:45
78,Lives Not Knives ,0,0,upload,resources/upload/images/6616678288362751851657201356.jpg,NULL,upload,resources/upload/images/27962048411674117421657201361.png,NULL,"<img src=https://www.livesnotknives.org/sites/default/files/styles/r5x3_1000/public/page/teaser/more-edited-what-do-page-2.jpg?itok=ftBHhjJE alt=Test image for Umar>Website: <a href=https://livesnotknives.org/>LivesNotKnives.Org</a><p>Charity Type: Crime Prevention<p>UK Registered Charity Number: 1153634<p><br>Lives Not Knives is an innovative, award winning, youth-led charity that works to prevent knife crime, serious youth violence and school exclusions by engaging, educating and empowering disadvantaged young people and supporting them to enjoy their lives and improve their future prospects.",1,2022-06-07 14:45:30,2022-06-07 14:45:30
79,ADPAC,0,0,upload,resources/upload/images/4848590127344459981657443802.jpg,NULL,upload,resources/upload/images/8555153719606262811657443806.jpg,NULL,"Website: <a href=https://www.adpac.net//>ADPAC.net</a><p>Charity Type: Societal ChangeUK Registered CIC Number: 13289091<p><br>ADPAC (African Diaspora Public Affairs Committee) CIC is a civic and social umbrella established to protect and serve the interests of the African Diaspora with specific focus on enabling the socio-economic growth of the British African Diaspora population.<br>Our activity includes advocating for our issues, lobbying, training and coordinating the activity of grassroots organisations, professionals and advocates for and on behalf of our members. We promote and support the creation of legislation that will positively impact on our members.<br>ADPAC CIC endorses and support the APPG on African Reparations, which are institutionally owed by Britain to the descendents of the British slave trade {African holocaust} which Britain officially took part in from 1640 to 1807. We also endorse and support the case against English family legacies that benefited from the role in the African holocaust and subsequent enslavement of African people.<br>Our initiatives are diverse and includes training programs that specifically protect us from structural racism. The Schools to Industry Pipeline was created for this very reason, in order to create a culturally competent public health approach for our young people to protect their right to a full education and seamless pathway into employment or entrepreneurialism.",1,2022-06-10 10:04:36,2022-06-10 10:04:36
80,S.M.I.L.E-ING BOYS ,0,0,upload,resources/upload/images/137186984710397919711657711049.jpg,NULL,upload,resources/upload/images/51393894919213412781657711058.jpg,NULL,"Website:  <a href=http://www.universoulartist.com/>S.M.I.L.E-ing</a><p>Charity Type: Societal Change<p> UK Registered CIC Number: 12948649<p><br>S.M.I.L.E-ing Boys project is a creative arts project that aims to address the mental health needs of black boys and challenge the negative portrayal of this demographic in the media. It is a public health response to rising levels of serious youth violence.",1,2022-06-13 12:21:37,2022-06-13 12:21:37
